,date_crawled,car_name,price_EUR,ab_test,vehicle_type,registration_year,transmission,power_ps,model,odometer_km,registration_month,fuel_type,brand,unrepaired_damage,ad_created,postal_code,last_seen
30,3/21/2016 12:50,VOLVO_V70_!!!_2_5_Liter_5_Zylinder_TÜV_bis_01/2018__8fach_bereift,2100,control,kombi,1998,manuell,144,v70,150000,10,benzin,volvo,nein,3/21/2016 0:00,32683,4/6/2016 7:45
33,3/30/2016 13:57,Renault__Mit_Scheckheft_org.86_Tkm,1699,test,kleinwagen,2002,manuell,75,twingo,90000,5,benzin,renault,nein,3/30/2016 0:00,24539,4/7/2016 5:15
35,3/11/2016 23:53,Ford_Galaxy_16V_GLX,999,test,bus,1998,manuell,145,galaxy,150000,10,benzin,ford,nein,3/11/2016 0:00,85290,3/18/2016 0:44
36,4/3/2016 18:36,Renault_Megane_dCi_160_FAP_Coupe,14999,control,coupe,2012,manuell,160,megane,90000,7,diesel,renault,nein,4/3/2016 0:00,85386,4/5/2016 18:46
38,3/16/2016 12:54,Wolkswagen_Golf_4_Sport_edition!,2400,test,andere,1998,manuell,90,golf,125000,7,benzin,volkswagen,Unknown,3/16/2016 0:00,13359,4/6/2016 9:44
39,3/29/2016 17:58,Volkswagen_Polo_1.2_KLIMA_/_TÜV_7/17,2399,control,kleinwagen,2002,manuell,64,polo,150000,6,benzin,volkswagen,nein,3/29/2016 0:00,88045,4/4/2016 2:45
40,3/31/2016 14:49,BMW_523i__2_Hand,2750,control,limousine,1999,manuell,170,5er,5000,12,benzin,bmw,nein,3/31/2016 0:00,32584,4/6/2016 7:45
41,3/28/2016 15:56,OPEL_ASTRA_1.2__LPG_SEHR_SPARSAM,3100,control,coupe,2002,manuell,75,astra,125000,3,lpg,opel,nein,3/22/2016 0:00,55568,4/2/2016 9:46
43,3/19/2016 20:57,Bmw_318_ci_top_Zustand,2350,control,limousine,2002,manuell,118,3er,150000,6,benzin,bmw,nein,3/19/2016 0:00,73433,3/19/2016 21:42
45,3/24/2016 21:56,Tausche_VR6_Umbau_Projekt_Golf_2,1200,test,Unknown,1990,manuell,174,golf,150000,5,Unknown,volkswagen,Unknown,3/24/2016 0:00,1689,4/5/2016 15:45
46,3/24/2016 1:36,Mercedes_Benz_E_220_T_CDI_BlueTech_Automatik_Leder_Navi_Avant,11600,test,kombi,2011,automatik,170,e_klasse,150000,3,diesel,mercedes_benz,ja,3/24/2016 0:00,26135,4/6/2016 16:17
47,3/27/2016 22:56,Volkswagen_Polo_1_4_TDI_Cricket,1850,test,kleinwagen,2004,manuell,75,polo,150000,3,diesel,volkswagen,nein,3/27/2016 0:00,48607,3/28/2016 6:42
48,3/15/2016 11:39,Renault_Laguna_Grandtour_1.9_dCi_FAP_Authentique,2100,test,kombi,2007,manuell,131,laguna,150000,8,diesel,renault,nein,3/15/2016 0:00,19288,3/15/2016 11:39
50,3/12/2016 7:37,Renault_Laguna_Grandtour_2_2_DCI_Bastler_oder_Export_!_Restuev,750,control,kombi,2002,manuell,150,laguna,150000,11,diesel,renault,nein,3/12/2016 0:00,6406,3/21/2016 7:49
52,3/19/2016 4:37,Golf_4_1.4_Klimaautomatik_TÜV_08/2016,750,test,Unknown,2016,manuell,75,golf,150000,6,benzin,volkswagen,Unknown,3/19/2016 0:00,45472,3/19/2016 8:42
53,4/1/2016 13:45,Peugeot__partner_90,600,test,Unknown,2016,manuell,90,Unknown,150000,7,Unknown,peugeot,nein,4/1/2016 0:00,71638,4/5/2016 7:50
54,3/23/2016 16:57,Renault_megane_Coupe,2222,test,coupe,2002,manuell,107,megane,125000,2,benzin,renault,nein,3/23/2016 0:00,4680,3/31/2016 4:15
56,3/9/2016 22:52,Skoda_Octavia_Combi_1.6_Elegance,5500,test,kombi,2006,manuell,102,octavia,150000,4,benzin,skoda,ja,3/9/2016 0:00,36419,4/7/2016 2:44
57,4/1/2016 8:54,Toyota_Yaris_1.33_VVT_i_Executive_Kamera_NAVI_ALU_Sitzh,10690,test,kleinwagen,2012,manuell,99,yaris,50000,7,benzin,toyota,nein,4/1/2016 0:00,93128,4/7/2016 5:46
61,3/13/2016 13:36,Volkswagen_Caddy_1.9_TDI,7490,test,bus,2005,manuell,105,caddy,150000,1,diesel,volkswagen,nein,3/13/2016 0:00,6917,4/6/2016 15:45
63,3/18/2016 23:41,Volkswagen_Golf_CL,1000,test,limousine,1990,manuell,54,golf,150000,2,benzin,volkswagen,nein,3/18/2016 0:00,47447,4/5/2016 23:16
64,3/12/2016 18:48,Mercedes_Benz_A_160_CDI_mit_Diesel_Partikel_Filter_Alu_Klima!!,2150,test,limousine,2000,manuell,60,a_klasse,150000,9,diesel,mercedes_benz,nein,3/12/2016 0:00,44894,3/12/2016 18:48
65,4/7/2016 0:06,MG_MG_ZR_1.8,1990,control,limousine,2003,manuell,160,Unknown,150000,5,benzin,sonstige_autos,nein,4/6/2016 0:00,63303,4/7/2016 0:25
66,3/16/2016 14:56,Volkswagen_Golf_5_GT__Leder__Xenon__RNS_510_Navi__170ps__Voll,7888,test,limousine,2007,manuell,170,golf,150000,4,benzin,volkswagen,nein,3/16/2016 0:00,31863,3/17/2016 13:18
67,4/4/2016 19:51,Citroen_Berlingo_55KW,2700,test,kombi,2007,manuell,75,berlingo,150000,4,diesel,citroen,Unknown,4/4/2016 0:00,53894,4/6/2016 22:16
69,3/15/2016 21:57,VW_Touran_Highline_in_gutem_Zustand,5200,control,bus,2003,manuell,136,touran,150000,10,diesel,volkswagen,nein,3/15/2016 0:00,70193,3/22/2016 3:17
70,3/27/2016 10:57,Mercedes_Benz_Vaneo_1_9_Kombi_/_Van_/_Hochdach,2300,control,bus,2002,manuell,125,v_klasse,150000,12,benzin,mercedes_benz,Unknown,3/27/2016 0:00,76185,3/27/2016 10:57
71,3/24/2016 5:36,Volkswagen_Scirocco_2.0_TSI,25000,control,coupe,2014,manuell,211,scirocco,20000,4,benzin,volkswagen,nein,3/24/2016 0:00,32676,4/6/2016 21:46
72,3/14/2016 22:55,Volkswagen_Touran_1.9_TDI_DPF_Conceptline,4450,control,bus,2006,manuell,105,touran,150000,7,diesel,volkswagen,nein,3/14/2016 0:00,23879,3/16/2016 0:45
73,3/9/2016 14:06,DACIA_SANDERO_1_4L_75_PS_BENZINER,3300,test,limousine,2009,manuell,75,sandero,100000,9,Unknown,dacia,nein,3/9/2016 0:00,55452,3/12/2016 7:17
74,3/30/2016 19:46,Mazda_MX_5_1.9i_16V_10th_Anniversary,6290,test,cabrio,2000,manuell,140,mx_reihe,70000,5,benzin,mazda,nein,3/30/2016 0:00,81373,4/7/2016 11:18
76,3/8/2016 1:32,Mercedes_C_Coupé_180,29499,control,coupe,2015,automatik,156,Unknown,20000,8,benzin,mercedes_benz,nein,3/8/2016 0:00,65719,3/8/2016 7:32
78,3/19/2016 16:40,Peugeot_407_HDi_135_Automatik_Tendance,4950,test,limousine,2006,automatik,136,4_reihe,150000,3,diesel,peugeot,nein,3/19/2016 0:00,67547,4/7/2016 2:15
79,3/15/2016 1:25,Volkswagen_Passat_Variant_2.0,2800,test,kombi,2003,manuell,116,passat,150000,10,benzin,volkswagen,nein,3/15/2016 0:00,61118,3/19/2016 16:44
80,4/1/2016 8:54,Vw_Phaeton,9500,test,limousine,2004,automatik,264,phaeton,150000,6,benzin,volkswagen,nein,4/1/2016 0:00,49594,4/7/2016 5:46
81,3/6/2016 0:59,Ve_T4_2_5TDI_mit_9_Sitze_AHK_Servo_CD_5Gang_Euro_3_gelbe_plakette,3499,control,bus,2001,manuell,88,transporter,150000,3,diesel,volkswagen,nein,3/6/2016 0:00,41515,3/8/2016 12:48
82,3/11/2016 19:52,Isuzu_MIDI_M2,1650,test,kombi,1992,manuell,83,Unknown,150000,10,benzin,sonstige_autos,nein,3/11/2016 0:00,46238,4/6/2016 1:17
85,4/1/2016 20:49,Opel_Zafira_2_2_16V_Elegance_Automatik_Schwarzmetallic,2250,test,bus,2000,automatik,147,zafira,150000,10,benzin,opel,nein,4/1/2016 0:00,31234,4/5/2016 18:18
86,3/24/2016 20:37,Audi_A1_1.6_TDI_S_tronic_Attraction_mit_Garantie,14500,test,kleinwagen,2011,automatik,90,a1,60000,11,diesel,audi,nein,3/24/2016 0:00,23758,4/5/2016 13:16
88,3/26/2016 23:57,Mercedes_Benz_220,2900,test,limousine,1999,automatik,125,andere,150000,12,diesel,mercedes_benz,nein,3/26/2016 0:00,89073,3/28/2016 20:44
91,3/21/2016 19:46,Volkswagen_Tiguan_2.0_TDI_DPF_4Motion_BlueMotion_Techno...,17500,test,suv,2012,manuell,140,tiguan,125000,9,diesel,volkswagen,nein,3/21/2016 0:00,45289,4/6/2016 22:15
92,3/7/2016 21:51,Renault_Laguna_Grandtour_1.6_16V,700,control,kombi,1999,manuell,107,laguna,150000,5,benzin,renault,nein,3/7/2016 0:00,27726,3/16/2016 11:16
93,3/22/2016 15:06,Volkswagen_Golf_1.6_Special_TÜV+_Zahnriemen_NEU_TOP,3999,control,limousine,2002,manuell,105,golf,125000,10,benzin,volkswagen,nein,3/22/2016 0:00,56068,4/7/2016 4:45
94,3/30/2016 23:53,Opel_Astra_Bertone_Cabrio_Sonderedition,1499,control,cabrio,2003,manuell,125,astra,150000,7,diesel,opel,ja,3/30/2016 0:00,64646,4/6/2016 0:17
97,4/4/2016 19:57,Volkswagen_Polo_45_Servolenkung_TÜV_01/2017_Bluetooth_Radio,590,test,kleinwagen,1995,manuell,45,polo,150000,6,benzin,volkswagen,nein,4/4/2016 0:00,91058,4/4/2016 19:57
98,4/3/2016 20:25,Ford_Focus_Turnier_1.6_TDCi_DPF_Start_Stopp_System,12999,test,kombi,2012,manuell,116,focus,150000,6,diesel,ford,nein,4/3/2016 0:00,56276,4/5/2016 11:29
99,3/9/2016 22:51,Mercedes_Benz_Vito_109_CDI_Kasten,3800,test,bus,2005,manuell,88,vito,150000,4,diesel,mercedes_benz,nein,3/9/2016 0:00,53721,3/24/2016 11:47
100,3/31/2016 18:56,Opel_Astra_1.8_Caravan_Sportsline,1450,control,kombi,2002,manuell,125,astra,150000,4,benzin,opel,nein,3/31/2016 0:00,91166,4/6/2016 13:15
101,3/11/2016 14:51,VW_Polo_9N_75PS_Sport_Alu,1999,control,kleinwagen,2002,manuell,75,polo,150000,6,benzin,volkswagen,nein,3/11/2016 0:00,36251,3/23/2016 11:47
102,3/10/2016 15:51,Volkswagen_Golf_Cabrio_1.8_Colour_Concept,650,test,cabrio,1996,manuell,90,golf,150000,6,benzin,volkswagen,nein,3/10/2016 0:00,99765,3/12/2016 20:19
103,3/17/2016 17:42,Opel_Corsa__TÜV_Servo_in_sehr_gute_Zustand,650,control,kleinwagen,1997,manuell,55,corsa,125000,8,benzin,opel,nein,3/17/2016 0:00,45881,3/17/2016 17:42
104,3/19/2016 9:57,Mitsubishi_Space_Star_1.6_Avance,1699,test,bus,2003,manuell,98,andere,150000,12,benzin,mitsubishi,nein,3/19/2016 0:00,53757,4/6/2016 8:46
106,3/12/2016 14:57,Renault_Kangoo_1.4_RT,1699,test,bus,1998,manuell,75,kangoo,150000,11,benzin,renault,nein,3/12/2016 0:00,10369,3/12/2016 14:57
107,3/8/2016 17:45,Mercedes_Benz_SL_500__1_Hand__deutsches_Fahrzeug__Unfallfrei_,26500,control,cabrio,2002,automatik,306,sl,30000,10,benzin,mercedes_benz,nein,3/8/2016 0:00,44289,3/17/2016 19:20
108,3/21/2016 12:50,Vw_Golf_4_TDI_KLIMA_SITZHEIZUNG_EINPARKHILFE_uvm,2500,control,kleinwagen,2001,manuell,110,golf,150000,12,diesel,volkswagen,nein,3/21/2016 0:00,35239,4/6/2016 7:45
109,3/27/2016 12:39,Audi_A6_Avant_2.4_quattro_UNFALLFREI__AHK__Scheckheft,5450,test,kombi,2002,manuell,170,a6,125000,6,benzin,audi,nein,3/27/2016 0:00,55743,3/29/2016 0:47
110,3/19/2016 20:47,Volkswagen_Multivan_BMT_Startline,24500,control,bus,2013,manuell,114,andere,50000,4,diesel,volkswagen,nein,3/19/2016 0:00,26871,4/7/2016 8:46
113,3/24/2016 2:36,VW_PASSAT_2.0TDI_DSG,6999,test,limousine,2006,automatik,140,passat,150000,11,diesel,volkswagen,nein,3/24/2016 0:00,46238,4/6/2016 21:45
114,3/28/2016 16:25,Maserati_Biturbo,7600,test,coupe,1984,manuell,184,Unknown,60000,6,benzin,sonstige_autos,nein,3/28/2016 0:00,56567,4/7/2016 0:46
118,3/14/2016 15:55,Seat_Leon_1.6_16V_Genio,1550,control,limousine,2005,manuell,105,leon,90000,4,benzin,seat,ja,3/14/2016 0:00,59872,4/5/2016 19:44
119,3/24/2016 14:39,Hyundai_ix20_1.4,8300,test,bus,2012,manuell,90,i_reihe,5000,2,benzin,hyundai,nein,3/24/2016 0:00,96050,3/25/2016 23:16
120,3/20/2016 11:59,Volkswagen_Passat_1.6_FSI,5800,test,limousine,2005,Unknown,116,passat,90000,12,benzin,volkswagen,nein,3/20/2016 0:00,33611,3/31/2016 17:16
122,3/27/2016 8:54,Audi_A4_2.7_TDI_DPF_S_Line_Voll_Voll_Standheizung,8500,test,limousine,2007,manuell,179,a4,150000,9,diesel,audi,nein,3/27/2016 0:00,57074,4/7/2016 5:17
124,4/2/2016 12:49,Mazda_6__Sport_Kombi_2.0_MZR_DISI_Sports_Line,13390,test,kombi,2010,manuell,155,6_reihe,50000,4,benzin,mazda,nein,4/2/2016 0:00,86899,4/6/2016 10:46
125,3/11/2016 22:53,BMW_130i,14900,control,limousine,2006,manuell,265,1er,125000,6,benzin,bmw,nein,3/11/2016 0:00,94501,3/12/2016 21:15
128,3/20/2016 19:54,Opel_Astra_1.9_CDTI_Caravan_DPF_Edition,3200,test,kombi,2006,manuell,101,astra,150000,9,diesel,opel,nein,3/20/2016 0:00,24395,4/1/2016 7:48
129,3/22/2016 21:56,Volkswagen_Passat_Variant_1.9_TDI,2350,control,kombi,2004,manuell,131,passat,150000,1,diesel,volkswagen,nein,3/22/2016 0:00,51643,3/31/2016 23:45
130,3/26/2016 23:56,Smart_smart_fortwo_coupe_softouch,3800,test,kleinwagen,2007,automatik,71,fortwo,125000,7,benzin,smart,nein,3/26/2016 0:00,49413,3/30/2016 13:45
131,4/3/2016 19:41,Opel_Agila_1.2_Edition,4500,test,kleinwagen,2008,manuell,86,agila,125000,10,benzin,opel,nein,4/3/2016 0:00,4808,4/5/2016 20:15
132,3/13/2016 11:42,Opel_Meriva__150_Jahre_Modell____mit_vielen_Extras___AHK__,8999,control,bus,2012,manuell,120,meriva,70000,3,benzin,opel,nein,3/13/2016 0:00,67112,3/25/2016 13:21
135,3/25/2016 17:38,Alfa_Romeo_147_2.0_Twin_Spark_Selespeed_Distinctive,1150,test,limousine,2001,automatik,150,147,150000,12,benzin,alfa_romeo,nein,3/25/2016 0:00,21640,4/6/2016 22:44
136,4/4/2016 14:06,Volkswagen_Polo_6N,2000,test,kleinwagen,2000,manuell,60,polo,125000,10,benzin,volkswagen,nein,4/4/2016 0:00,56204,4/6/2016 19:47
137,3/21/2016 20:44,Audi_A3_8P,5500,control,coupe,2004,manuell,102,a3,150000,3,benzin,audi,nein,3/21/2016 0:00,88097,3/30/2016 9:44
138,3/20/2016 12:55,Ford_Transit_Bus,1050,test,bus,1999,manuell,63,transit,150000,4,diesel,ford,ja,3/20/2016 0:00,25917,3/20/2016 12:55
139,3/20/2016 11:00,Opel_Astra_16V_GSI,3099,control,limousine,1995,manuell,150,astra,125000,6,benzin,opel,nein,3/20/2016 0:00,57319,3/26/2016 18:45
140,3/6/2016 17:48,BMW_320d_DPF_Touring,13900,control,kombi,2011,manuell,177,3er,150000,1,diesel,bmw,nein,3/6/2016 0:00,78224,4/6/2016 22:15
141,3/10/2016 17:52,Opel_Corsa_1.2_16V_Edition,5500,control,kleinwagen,2009,manuell,80,corsa,100000,11,benzin,opel,nein,3/10/2016 0:00,66386,3/23/2016 16:21
144,3/25/2016 14:42,Volkswagen_Golf_2.0_GTI,12999,control,limousine,2007,manuell,230,golf,150000,9,benzin,volkswagen,nein,3/25/2016 0:00,23558,4/6/2016 17:17
145,3/23/2016 13:25,Opel_Meriva_1.6_16V_Edition,799,test,bus,2005,manuell,101,meriva,150000,7,benzin,opel,ja,3/23/2016 0:00,35457,3/23/2016 13:25
146,3/14/2016 14:42,Volkswagen_Golf_1.6_TDI_DPF_Team,9990,control,limousine,2010,manuell,105,golf,125000,5,diesel,volkswagen,nein,3/14/2016 0:00,72525,4/5/2016 16:44
147,3/30/2016 19:50,Gepflegter_VW_Golf_3,1400,test,kleinwagen,1997,manuell,75,golf,150000,3,benzin,volkswagen,nein,3/30/2016 0:00,13127,4/7/2016 11:45
148,3/8/2016 19:56,Ford_Fiesta_1.3,2700,test,kleinwagen,2005,manuell,69,fiesta,125000,1,benzin,ford,ja,3/8/2016 0:00,93049,4/5/2016 15:47
150,3/24/2016 11:37,Peugeot_206_Baujahr_9/2004_1_4,1800,test,kleinwagen,2004,manuell,88,2_reihe,150000,9,benzin,peugeot,nein,3/24/2016 0:00,22041,3/28/2016 21:15
151,3/28/2016 14:56,Peugeot_306,1799,test,kombi,2001,manuell,113,3_reihe,125000,2,benzin,peugeot,nein,3/28/2016 0:00,59581,4/6/2016 19:16
152,3/11/2016 19:46,Toyota_Avensis_2.0_D4D_Combi_linea_sol,999,test,kombi,2000,manuell,110,avensis,150000,1,diesel,toyota,nein,3/11/2016 0:00,44139,3/11/2016 19:46
153,3/23/2016 18:37,Volkswagen_Golf_GTI_Edition_35__Garantie__Leder_Navi_Xenon,18750,test,limousine,2012,manuell,235,golf,60000,3,benzin,volkswagen,nein,3/23/2016 0:00,48161,3/27/2016 23:45
154,3/30/2016 16:53,Volkswagen_Passat,4900,test,limousine,2006,manuell,140,passat,150000,2,diesel,volkswagen,nein,3/30/2016 0:00,64546,4/7/2016 10:15
155,3/6/2016 14:46,Zu_Verkaufen_Mercedes_Benz_E_220_T_CDI_AVANTGARDE....!!!,11500,control,kombi,2009,automatik,170,e_klasse,150000,5,diesel,mercedes_benz,nein,3/6/2016 0:00,82467,3/31/2016 18:16
156,3/16/2016 17:36,Tausche_/_Verkaufe_Skoda_Superb,4999,control,limousine,2005,automatik,163,Unknown,150000,12,diesel,skoda,nein,3/16/2016 0:00,6193,3/17/2016 15:45
157,3/10/2016 14:47,Audi_A3_1.9_TDIe_Sportback_DPF_Zahnriemen_neu_HU_neu,9300,test,kombi,2008,manuell,105,a3,150000,12,diesel,audi,nein,3/10/2016 0:00,50181,3/27/2016 15:46
158,3/9/2016 20:54,Opel_Corsa_1.0_12V,1650,test,kleinwagen,2004,manuell,60,corsa,150000,12,benzin,opel,nein,3/9/2016 0:00,78052,3/12/2016 8:16
159,3/28/2016 18:44,BMW_E36_compact_1_Jahr_TÜV,750,control,kleinwagen,1996,manuell,114,3er,150000,1,benzin,bmw,nein,3/28/2016 0:00,54610,4/1/2016 3:44
160,3/28/2016 0:38,BMW_520_i__sehr_gepflegt__Tuev_07/2017_Scheckheft__2.Hand,2990,control,limousine,1998,manuell,150,5er,150000,7,benzin,bmw,nein,3/27/2016 0:00,38268,3/29/2016 21:17
161,4/5/2016 22:06,Mercedes_Benz_A_180_CDI_Elegance,4800,control,limousine,2006,manuell,106,a_klasse,150000,10,diesel,mercedes_benz,nein,4/5/2016 0:00,60486,4/5/2016 22:06
165,3/13/2016 21:06,Fiat_Bravo_1.4_12V_S,599,test,limousine,1996,manuell,75,bravo,150000,1,benzin,fiat,nein,3/13/2016 0:00,65527,3/20/2016 11:18
166,3/13/2016 17:48,MINI_Mini_One_Cabrio,8490,control,cabrio,2007,manuell,90,one,90000,4,benzin,mini,nein,3/13/2016 0:00,68766,4/6/2016 17:46
170,3/29/2016 15:47,Opel_Corsa_1.0_12V,3800,control,kleinwagen,2008,manuell,60,corsa,125000,8,benzin,opel,nein,3/29/2016 0:00,47139,3/31/2016 8:45
171,3/29/2016 23:52,Volkswagen_Golf_1.8__Klima__Family,650,control,limousine,1997,manuell,75,golf,150000,5,benzin,volkswagen,nein,3/29/2016 0:00,74613,4/2/2016 20:48
173,3/15/2016 9:50,Volkswagen_Polo_Variant_100,1500,control,kombi,1998,manuell,101,polo,150000,10,benzin,volkswagen,nein,3/15/2016 0:00,81547,4/5/2016 18:44
174,3/7/2016 15:54,Audi_A4_1.6,550,control,limousine,1995,manuell,101,a4,150000,10,benzin,audi,nein,3/7/2016 0:00,30823,4/5/2016 12:15
175,3/14/2016 17:54,Volkswagen_Caddy_1.9_TDI_DPF_Life__5_Si._,5990,test,kombi,2008,manuell,105,caddy,150000,11,diesel,volkswagen,nein,3/14/2016 0:00,85635,3/23/2016 20:15
176,4/3/2016 10:52,Opel_Corsa_B_mit_Servo_&_Einparkhilfe_Hinten_TÜV_12.2016,1150,control,kleinwagen,2000,manuell,65,corsa,150000,4,benzin,opel,nein,4/3/2016 0:00,42283,4/3/2016 10:52
177,3/15/2016 18:45,Volkswagen_Polo,1600,control,kleinwagen,1999,manuell,60,polo,150000,3,benzin,volkswagen,nein,3/15/2016 0:00,90765,3/20/2016 15:18
178,3/7/2016 8:37,Mercedes_Benz_E_240_T,2799,control,kombi,2000,automatik,170,e_klasse,150000,11,benzin,mercedes_benz,nein,3/7/2016 0:00,3130,3/7/2016 17:15
179,3/13/2016 0:55,Ford_Galaxy_2.0_TDCi_DPF,4550,control,bus,2008,manuell,131,galaxy,150000,8,diesel,ford,nein,3/13/2016 0:00,63739,3/13/2016 8:44
180,3/16/2016 23:55,Ford_Focus_10_17_TÜV,1500,test,kleinwagen,1999,manuell,116,Unknown,150000,4,benzin,ford,Unknown,3/16/2016 0:00,4179,4/6/2016 1:49
181,4/3/2016 21:52,opel_omega_b,850,test,limousine,2000,manuell,144,omega,150000,7,benzin,opel,Unknown,4/3/2016 0:00,15848,4/5/2016 23:15
184,4/4/2016 15:37,Volkswagen_Touran_2.0_TDI_DPF_Highline_Scheckheftgepflegt,8950,test,bus,2009,manuell,170,touran,150000,11,diesel,volkswagen,nein,4/4/2016 0:00,42855,4/4/2016 15:37
185,3/13/2016 22:36,Unfallfahrzeug_BMW_E61_530_D_Automatik,6000,control,kombi,2004,automatik,231,5er,150000,5,diesel,bmw,ja,3/13/2016 0:00,56858,4/7/2016 3:17
186,3/11/2016 22:49,Mazda_CX_5_SKYACTIV_D_175_Drive_AWD_Sports_Line,33990,control,suv,2016,automatik,175,cx_reihe,5000,2,diesel,mazda,nein,3/11/2016 0:00,33335,4/6/2016 23:16
187,3/23/2016 12:53,VW_TOURAN__7_Sitzer,4300,control,bus,2005,manuell,105,touran,150000,5,diesel,volkswagen,Unknown,3/23/2016 0:00,61191,3/23/2016 16:29
188,3/15/2016 16:51,BMW_523i_Aut.,10500,control,limousine,2006,automatik,177,5er,60000,5,benzin,bmw,nein,3/15/2016 0:00,68305,4/6/2016 12:17
189,3/31/2016 18:25,Volkswagen_Golf_1.6_FSI,6199,test,limousine,2007,manuell,116,golf,150000,3,benzin,volkswagen,nein,3/31/2016 0:00,65779,4/6/2016 11:44
191,3/12/2016 13:46,BMW_318_i__E46__8fach_bereift,3650,control,limousine,2004,manuell,143,3er,150000,7,benzin,bmw,nein,3/12/2016 0:00,83088,3/12/2016 13:46
192,3/16/2016 12:58,Opel_Astra_1.6_Elegance,2500,test,limousine,2000,automatik,84,astra,100000,11,benzin,opel,nein,3/16/2016 0:00,68167,4/6/2016 9:45
193,4/3/2016 23:44,Mercedes_ML_320_cdi_4_Matic_W164_absolutes_Liebhaber_Fahrzeug!!,20000,control,suv,2007,automatik,224,m_klasse,150000,5,diesel,mercedes_benz,nein,4/3/2016 0:00,90439,4/6/2016 0:45
195,3/19/2016 9:54,FIAT_Punto_55_._._._._._sparsamer_Kleinwagen_._._.__HU_04/2017,650,test,kleinwagen,1993,manuell,54,punto,150000,10,benzin,fiat,nein,3/19/2016 0:00,13581,3/20/2016 11:49
196,3/21/2016 21:52,Citroën_C5_HDi_110,1950,control,limousine,2007,manuell,109,c5,150000,10,diesel,citroen,nein,3/21/2016 0:00,77694,3/28/2016 20:19
